Country,PopDensity,IncomeperCapita,PurchasingParity,ChangeGDP
Afghanistan,54,470,40.3,5.7
Albania,117,3980,28.4,3
Algeria,15,4470,299,2.5
Angola,16,3830,102.7,3.9
Antigua,204,11940,1.6,-5
Armenia,109,3360,18.9,4.6
Australia,3,49790,898.9,1.9
Austria,102,48170,354,2.7
Azerbaijan,111,5290,82.1,1
Bahamas,35,21970,10.2,1.6
Bahrain,1741,15920,26.8,4.5
Bangladesh,1156,780,291.7,6.7
Barbados,637,12660,5.2,-5.3
Belarus,47,5830,137,5.3
Belgium,364,45930,431.4,1.8
Belize,16,3710,2.2,1.9
Benin,81,780,14.7,3.5
Bhutan,19,2130,4.1,5.6
Bolivia,9,2020,49.3,5.2
Bosnia,74,4780,34.5,1.7
Botswana,4,7470,29.5,5.7
Brazil,23,10720,2245.8,2.7
Brunei,77,31800,19.6,2.2
Bulgaria,68,6640,105.8,1.7
Burkina,62,580,22.1,4.2
Burundi,334,250,5.2,4.2
Cambodia,81,820,31.8,7.1
Cameroon,42,1210,46.7,4.2
Canada,4,45550,1369.4,2.5
CapeVerde,124,3540,2,5
CAfricanR,7,480,3.6,3.3
Chad,9,720,15.7,1.6
Chile,23,12280,281.4,6
China,144,4940,11270.8,9.3
HongKong,6787,36010,370.2,4.9
Colombia,42,6070,448.6,5.9
Comoros,405,770,0.8,2.2
Congo,30,190,23.2,6.9
CostaRica,93,7640,56.1,4.2
CotedIvoire,63,1090,34.5,-4.7
Croatia,79,13540,82.7,0
Cyprus,121,29450,24.9,0.5
CzechRepublic,136,18700,257,1.9
Denmark,131,60160,233.5,1.1
Djibouti,39,1270,2.1,5
Dominica,90,7030,0.9,-0.3
DominicanRep,208,5240,94.7,4.5
Ecuador,59,4200,124.7,7.8
Egypt,83,2600,504.8,1.8
ElSalvador,301,3480,41.4,1.5
EquGuinea,26,15670,18.4,7.8
Eritrea,54,430,3.1,8.7
Estonia,32,15260,27.9,8.3
Ethiopia,85,370,93.8,7.3
Fiji,48,3720,4,2
Finland,18,47760,202.9,2.7
France,119,42420,2349.8,1.7
Gabon,6,8080,21.1,4.8
Gambia,176,500,3.1,-4.3
Georgia,78,2860,24,7
Germany,235,44230,3287.6,3
Ghana,110,1410,45.2,14.4
Greece,88,24490,283.7,-7.1
Grenada,309,7350,1.1,1
Guatemala,138,2870,70.3,3.9
Guinea,42,430,10.5,3.9
GuineaBissau,55,600,2,5.7
Guyana,4,2900,2.6,4.4
Haiti,367,700,11.9,5.6
Honduras,69,1980,29.7,3.6
Hungary,110,12730,202.5,1.7
Iceland,3,34820,9.9,2.6
India,418,1420,4492.9,6.3
Indonesia,134,2940,1091.4,6.5
Iran,46,4520,835.5,1.8
Iraq,76,2640,123.5,9.9
Ireland,66,39150,153.4,0.7
Israel,359,28930,218,4.7
Italy,206,35320,1968.9,0.4
Japan,351,44900,4431.3,-0.7
Jordan,70,4380,36.6,2.6
Kazakhstan,6,8260,186.4,7.5
Kenya,73,820,71.1,4.4
Kiribati,125,2030,0.3,1.8
Korea,513,20870,1489.1,3.6
Kuwait,158,48900,147,8.2
KyrgyzRep,29,900,12.1,6
LaoPDR,27,1130,16.2,8
Latvia,33,13320,39.3,5.5
Lebanon,416,9140,61.6,3
Lesotho,72,1210,4.5,4.2
Liberia,43,330,2.2,9.4
Libya,4,12320,105.2,2.1
Lithuania,48,12980,62.9,5.9
Luxembourg,200,77390,33.2,1.7
Macedonia,82,4810,23.5,2.8
Madagascar,37,430,20.2,1
Malawi,163,360,13.4,4.3
Malaysia,88,8770,451.7,5.1
Maldives,1067,5720,2.4,7.5
Mali,13,610,16.5,2.7
Malta,1299,18620,10.2,2.1
Mauritania,3,1030,8.6,4
Mauritius,634,8040,18.4,4.1
Mexico,59,9420,1919.3,3.9
Micronesia,159,2860,0.4,2.1
Moldova,124,1980,13,6.4
Mongolia,2,2310,12,17.5
Montenegro,47,7140,8.7,3.2
Morocco,72,2970,160.1,4.5
Mozambique,30,460,23,7.1
Namibia,3,4700,15.1,4.8
Nepal,213,540,38.4,3.9
Netherlands,495,49660,720.3,1
NewZealand,17,29140,128.5,1
Nicaragua,49,1510,21.9,5.1
Niger,13,360,11.6,2.3
Nigeria,178,1280,372.8,7.4
Norway,16,88870,304.4,1.4
Oman,9,19260,71.6,5.5
Pakistan,229,1120,507.2,3
Palau,45,6510,0.2,5.8
Panama,48,7470,51.8,10.6
PNG,15,1480,18,9
Paraguay,17,3020,35.4,6.9
Peru,23,5150,277.6,6.8
Philippines,318,2210,393,3.9
Poland,127,12380,780.8,4.3
Portugal,115,21370,259.9,-1.7
Qatar,161,80440,161.6,18.8
Romania,93,8140,337.4,2.5
Russia,9,10650,3032.2,4.3
Rwanda,444,570,13.9,8.3
Samoa,65,3160,0.8,2
SaoTome,176,1350,0.4,4.9
SaudiArabia,13,17820,693.7,6.8
Senegal,66,1070,24.8,2.6
Serbia,83,5690,83.8,2
Seychelles,187,11270,2.1,5
SierraLeone,84,460,6.7,6
Singapore,7405,42930,307.8,4.9
SlovakRep,112,16190,120.4,3.3
Slovenia,102,23600,54.4,-0.2
SolomonIsl,20,1110,1.3,9
SouthAfrica,42,6960,542,3.1
Spain,93,30930,1451.7,0.4
SriLanka,333,2580,115.2,8.3
StKitts,204,12610,0.9,2.1
StLucia,289,6820,2,1.3
StVincent,280,6070,1.1,0.1
Sudan,19,1310,94.7,4.7
Suriname,3,7840,4.2,4.7
Swaziland,62,3470,6.3,1.3
Sweden,23,53170,398.9,3.9
Switzerland,198,76350,415.6,1.9
Syria,113,2750,104,3.2
Tajikistan,50,870,16,7.4
Tanzania,52,540,67.1,6.4
Thailand,136,4440,581.4,0.1
TimorLeste,79,2730,5.9,10.6
Togo,113,570,6.4,4.9
Tonga,145,3820,0.5,4.9
Trinidad,262,15840,32.7,-4.1
Tunisia,69,4020,94.5,-2
Turkey,96,10410,1247.3,8.5
Turkmenistan,11,4800,44.3,14.7
Uganda,173,510,45.3,6.7
Ukraine,79,3130,321.9,5.2
UnitedAE,94,40760,377.9,4.9
UK,259,37780,2255.9,0.8
USA,34,48620,15211.3,1.7
Uruguay,19,11860,49.3,5.7
Uzbekistan,69,1510,100.3,8.3
Vanuatu,20,2730,1,1.4
Venezuela,33,11820,363.9,4.2
Vietnam,283,1270,285.5,5.9
Yemen,47,1070,53.7,-10.5
Zambia,18,1160,20.1,6.5
